id;title;description;type;created_at;closed_at;updated_at;state;workstation_id;author_id;updated_by_id;closed_by_id
1;partnerships implement Lempira;drive New Assistant;MAINTENANCE;2023-01-08T17:38:49;2023-01-08T23:44:48;2023-01-08T18:52:52;RE_OPEN;1;13;13;
2;Fantastic;Accounts;SAFETY;2023-01-09T01:53:53;2023-01-08T17:15:17;2023-01-09T05:34:32;CLOSED;2;13;13;11
3;ADP red Mission;Dollar;SAFETY;2023-01-09T03:42:06;2023-01-08T23:11:13;2023-01-08T23:58:54;RE_OPEN;3;13;13;
4;Virgin Coordinator;Steel Granite;QUALITY;2023-01-08T18:02:41;2023-01-09T11:26:48;2023-01-08T11:59:46;DOING;1;13;13;
5;Account Enterprise-wide;Integration Identity synthesize;MAINTENANCE;2023-01-09T08:15:59;2023-01-08T11:56:38;2023-01-08T13:55:24;OPEN;2;13;13;
6;users Cotton;Frozen Extension HDD;SAFETY;2023-01-08T16:58:00;2023-01-08T18:09:45;2023-01-08T23:42:41;RE_OPEN;3;13;13;
7;Metal web-enabled connecting;technologies;ENGINEERING_PROCESS;2023-01-09T09:15:57;2023-01-08T14:31:39;2023-01-08T23:18:10;RE_OPEN;3;13;13;
8;Buckinghamshire intuitive;state Falls;SAFETY;2023-01-08T22:42:50;2023-01-08T17:34:05;2023-01-09T05:32:56;OPEN;2;13;13;
9;Rubber ADP violet;model Central Tools;ENGINEERING_PROCESS;2023-01-08T23:58:56;2023-01-09T04:43:40;2023-01-09T03:25:49;DOING;1;13;13;
10;Chips;Frozen end-to-end;MAINTENANCE;2023-01-08T20:48:12;2023-01-09T00:14:21;2023-01-09T11:32:45;CLOSED;3;13;13;11
